name;url;brand;availability;price
LM2574HVM-15/NOPB, Conv DC-DC 4V to 60V Step Down Single-Out 15V 0.5A 14-Pin SOIC W Tube;/product0/8003064923;Texas Instruments;no;650
LM2574HVM-3.3/NOPB, Conv DC-DC 4V to 60V Step Down Single-Out 3.3V 0.5A 14-Pin SOIC W Tube;/product0/8003109217;Texas Instruments;no;700
LM2574HVN-ADJ/NOPB, Стабилизатор напряжения регулируемый, 1,23-57В, 500мА, DIP8;/product0/8002637418;Texas Instruments;no;1590
LM2575D2T-ADJR4G, Switching Voltage Regulators 1A 1.23-37V ADJ Buck PWM;/product0/8004651510;ON Semiconductor;no;800
LM2575HVR-5.0, TO-263-5 DC-DC Converters ROHS;/product0/8003432899;HTC Korea;7-9 недель,615 шт.;220
LM2575M-5.0/NOPB, Switching Voltage Regulators 1A SD Vtg Reg;/product0/8004741651;Texas Instruments;no;1170
LM2575T-ADJ/LF03, Conv DC-DC 4V to 40V Step Down Single-Out 1.23V to 37V 1A 5-Pin(5+Tab) TO-220 Tube;/product0/8003064937;Texas Instruments;no;460
LM2575T-ADJG, Conv DC-DC 4.75V to 40V Step Down Single-Out 1.23V to 37V 1A 5-Pin(5+Tab) TO-220 Tube;/product0/8001003518;ON Semiconductor;no;560
LM2576D2T-005G, Conv DC-DC 7V to 40V Step Down Single-Out 5V 3A 6-Pin(5+Tab) D2PAK Tube;/product0/8001213639;ON Semiconductor;no;660
LM2576D2T-ADJR4G, Switching Voltage Regulators 3A 1.23-37V ADJ Buck PWM;/product0/8004651512;ON Semiconductor;no;830
LM2576HVSX-ADJ/NOPB, Conv DC-DC 4V to 60V Step Down Single-Out 1.23V to 57V 3A 6-Pin(5+Tab) DDPAK T/R;/product0/8003064939;Texas Instruments;no;1120
LM2576HVT-12/LF03, Conv DC-DC 4V to 60V Step Down Single-Out 12V 3A 5-Pin(5+Tab) TO-220 Tube;/product0/8003064943;Texas Instruments;no;1260
"LM2576HVT-5.0/LF03, IC: PMIC; DC/DC converter; Uin: 4?60VDC; Uout: 5VDC; 3A; TO220-NDH5D";/product0/8004303273;Texas Instruments;no;1880
LM2576S-12/NOPB, IC REG BUCK 12V 3A TO263-5;/product0/8003469748;Texas Instruments;no;690
LM2576S-5.0/NOPB, Conv DC-DC 4V to 40V Step Down Single-Out 5V 3A 6-Pin(5+Tab) DDPAK Tube;/product0/8003048175;Texas Instruments;no;800
LM2576T-3.3/LF03, Conv DC-DC 4V to 40V Inv/Step Down Single-Out 3.3V 3A 5-Pin(5+Tab) TO-220 Tube;/product0/8003323604;Texas Instruments;no;480
LM2576T-3.3G, Conv DC-DC 7V to 40V Step Down Single-Out 3.3V 3A 5-Pin(5+Tab) TO-220 Tube;/product0/8001056532;ON Semiconductor;no;460
LM2576T-5.0/LF03, Conv DC-DC 4V to 40V Step Down Single-Out 5V 3A 5-Pin(5+Tab) TO-220 Tube;/product0/8003048179;Texas Instruments;no;480
"LM2585T-12/NOPB, IC: PMIC; DC/DC converter; Uin: 4?40VDC; Uout: 12VDC; 3A; Ch: 1; tube";/product0/8002518908;Texas Instruments;no;1970
LM2585T-5.0/NOPB, Conv DC-DC 4V to 40V Step Up Single-Out 5V 3A 5-Pin(5+Tab) TO-220 Tube;/product0/8003323541;Texas Instruments;no;1350
LM2586S-ADJ/NOPB, Switching Voltage Regulators 3-AMP FLYBACK REG;/product0/8004741656;Texas Instruments;no;2880
LM2586SX-ADJ/NOPB, Импульсный повышающий обратноходовой DC-DC стабилизатор, регулируемый, 4В-40В вход, 1.23В-60В/3А;/product/lm2586sx-adj-nopb;Texas Instruments;no;2120
