Ноутбук Lenovo Современный и Быстрый;19900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-sovriemiennyi-i-bystryi-66eaade797a4cd48f70bd1f4?source_view=search
Ноутбук Toshiba Satellite A300;3300 ₽;https://youla.ru/kolpino/kompyutery/noutbuki/noutbuk-toshiba-satellite-a300-61f393a09c774b001556d25f?source_view=search
Dell Ryzen 7 4800H/ 144герца;44990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/dell-ryzen-7-4800h-144ghiertsa-67287a57227e4672150475e9?source_view=search
Ноутбук asus;18000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-5ddacad39e94ba7c0d4490e2?source_view=search
Ноутбук на запчасти;1500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-na-zapchasti-669e43c72db2cd67410ef141?source_view=search
Ноутбук Игровой MSI GF65 Thin 10UE-085RU;65000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-msi-gf65-thin-10ue085ru-65e2ff4b582de7a2710c45b4?source_view=search
Asus tuf gaming FX505DY/Ryzen 5 3550H/16GB;34990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/asus-tuf-gaming-fx505dyryzen-5-3550h16gb-6720fc88c01bd4dc810e7254?source_view=search
Игровой ноутбук ASUS;15000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-asus-67215b6c76e1914ef30b2644?source_view=search
Ноутбук Тоshiba SATELLITE A300-248;6200 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-toshiba-satellite-a300248-658c6e901db634f3ad04bdec?source_view=search
I5-7200U/GeForce 940MX/FullHd;19990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/i57200ugeforce-940mxfullhd-6728814896ab295f140c40a4?source_view=search
Ноутбук Asus X550C;21000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-x550c-673a397231578f8b930f6852?source_view=search
Ноутбук Samsung NP-300E5C;7300 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-samsung-np300e5c-6713ae53865ccf2f5f06d344?source_view=search
Ноутбук samsung CODE:NP300V4A—A02RU;9999 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-samsung-codenp300v4aa02ru-61192e3364c1860c0312263b?source_view=search
